Country,2001
總計,126608592
亞洲,67480658
中國大陸,5020729
香港,28789386
日本,13031446
韓國,3379063
新加坡,4234012
馬來西亞,3141450
印尼,1486330
越南,1756335
泰國,2210056
菲律賓,2219050
印度,642185
孟加拉,400147
巴基斯坦,174957
澳門,294101
亞塞拜然,853
柬埔寨,182700
斯里蘭卡,297456
緬甸,170903
不丹,9
汶萊,11469
尼泊爾,4865
寮國,2389
北韓,16480
哈薩克,4726
烏茲別克,2258
喬治亞,1063
亞美尼亞,1796
土庫曼,39
塔吉克,6
吉爾吉斯,56
中東,2253567
沙烏地阿拉伯,348009
科威特,62880
阿拉伯聯合大公國,774672
伊朗,164832
伊拉克,277
土耳其,224310
卡達,19997
阿曼,18523
以色列,307678
巴林,16568
阿富汗,26
塞普勒斯,62245
約旦,72264
黎巴嫩,56234
敘利亞,106673
葉門,18381
歐洲,19989079
德國,4531184
荷蘭,4255522
英國,3371698
義大利,1261751
法國,1183755
俄羅斯,268857
西班牙,680100
瑞士,300486
比利時,678354
芬蘭,294703
瑞典,380406
奧地利,361377
波蘭,162044
丹麥,317014
愛爾蘭,674754
匈牙利,191255
葡萄牙,119670
捷克,141998
挪威,115695
斯洛伐克,8546
烏克蘭,73457
希臘,140835
阿爾巴尼亞,295
保加利亞,18944
教廷,81
冰島,5223
盧森堡,287636
馬爾他,20696
摩納哥,6645
羅馬尼亞,33881
塞爾維亞,0
蒙特內哥羅,0
馬其頓,2767
波士尼亞與赫塞哥維納,821
克羅埃西亞,13507
斯洛維尼亞,19788
白俄羅斯,4816
摩爾多瓦,597
立陶宛,18049
愛沙尼亞,11330
拉脫維亞,11441
北美洲,29705762
美國,28128251
加拿大,1576776
中美洲,1793185
墨西哥,1030132
巴拿馬,123842
哥斯大黎加,75756
巴貝多,2219
巴哈馬,61007
安圭拉,3
安地卡及巴布達,160
貝里斯,5228
多明尼克,2069
多明尼加,77939
薩爾瓦多,65915
瓜地馬拉,78977
格瑞那達,409
海地,11167
宏都拉斯,50903
牙買加,15963
蒙瑟拉特,13
尼加拉瓜,48607
玻多黎各,52330
聖露西亞,463
聖文森,4879
千里達及托巴哥,24762
聖克里斯多福及尼維斯,42
古巴,18925
南美洲,1445591
巴西,573664
智利,177039
秘魯,87988
阿根廷,161030
哥倫比亞,120810
玻利維亞,3553
厄瓜多,71099
圭亞那(法屬),194
蓋亞那,1530
巴拉圭,24102
蘇利南,2917
烏拉圭,66055
委內瑞拉,155430
大洋洲,1746212
澳大利亞,1377541
紐西蘭,200471
薩摩亞(美屬),4760
斐濟,12779
吉里巴斯,812
馬爾地夫,1411
諾魯,73
巴布亞新幾內亞,7523
紐克里多尼亞,2079
萬那杜,5573
所羅門島,335
大溪地,874
東加,574
吐瓦魯,31
薩摩亞,5058
非洲,1191056
南非,501761
安哥拉,1334
赤道幾內亞,14
剛果,861
奈及利亞,139972
埃及,178806
賴比瑞亞,8515
阿爾及利亞,21874
波札那,332
蒲隆地,22
維德角,1
喀麥隆,7107
中非共和國,30
查德,41
剛果民主共和國,421
葛摩,0
貝南,7956
衣索比亞,2120
厄利垂亞,77
吉布地,9569
加彭,1136
甘比亞,960
迦納,11759
幾內亞,4948
幾內亞比索,2
象牙海岸,20644
肯亞,22160
賴索托,52309
利比亞,7526
馬達加斯加,16067
馬拉威,7249
馬利,282
茅利塔尼亞,307
摩洛哥,36628
模里西斯,31333
莫三比克,3463
納米比亞,604
尼日,345
盧安達,163
辛巴威,8121
聖多美普林西比,26
塞內加爾,2754
獅子山,1709
索馬利亞,2
蘇丹,9330
史瓦帝尼,1929
坦尚尼亞,4149
多哥,3661
突尼西亞,39428
烏干達,1150
布吉那法索,737
尚比亞,2352
