year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2001,199717 ,29192 ,4678 ,125710 ,95241 ,266266 ,1222438 ,84884 ,96120 ,64555 ,2182416 ,176137 ,131504 ,14581 ,2924903 ,16823401 ,1347010 ,791974 ,1547523 
2002,173365 ,31517 ,5091 ,112736 ,87688 ,255166 ,1322706 ,51535 ,89191 ,73661 ,2043272 ,154472 ,148560 ,18985 ,3011135 ,15848551 ,1479124 ,933493 ,1533706 
2003,160075 ,31294 ,4482 ,106961 ,73802 ,304977 ,1361035 ,41055 ,80148 ,85019 ,1894880 ,141074 ,140198 ,21634 ,2930214 ,15190985 ,1598773 ,897344 ,1507321 
2004,181429 ,33481 ,5472 ,105090 ,370000 ,357699 ,1487530 ,46034 ,90364 ,86140 ,1819661 ,144725 ,175670 ,31182 ,4146488 ,15469764 ,1826009 ,892774 ,1539861 
2005,162937 ,36333 ,6054 ,114344 ,532222 ,454283 ,1665490 ,42214 ,80361 ,80022 ,1553622 ,105986 ,173931 ,47642 ,4015131 ,15389866 ,2124787 ,995688 ,1581969 
2006,178400 ,41188 ,6502 ,119084 ,586665 ,532577 ,1641114 ,44587 ,81915 ,95636 ,1418823 ,87819 ,198030 ,159487 ,5026278 ,17296157 ,2160564 ,1288073 ,1511739 
2007,158227 ,46856 ,8151 ,126877 ,707645 ,537524 ,1676913 ,40325 ,67233 ,121330 ,1296682 ,75828 ,203482 ,285152 ,4705599 ,17209796 ,2263323 ,1089483 ,1509849 
2008,165815 ,48921 ,8787 ,143985 ,408740 ,691919 ,1795795 ,43895 ,53493 ,117880 ,1144580 ,100892 ,189501 ,292184 ,4691818 ,16068467 ,2376090 ,997045 ,1543759 
2009,142081 ,52878 ,11312 ,138461 ,514320 ,551625 ,1315685 ,38764 ,30889 ,102340 ,846756 ,78039 ,168987 ,102442 ,2734126 ,12739472 ,2003568 ,788662 ,1259477 
2010,146246 ,61208 ,13893 ,158633 ,493551 ,817980 ,1833331 ,44177 ,34526 ,121972 ,983377 ,81045 ,219106 ,125002 ,3951312 ,17525795 ,2262830 ,1058495 ,1633520 
2011,159409 ,70929 ,14488 ,187352 ,294404 ,869663 ,2095109 ,54540 ,41169 ,130305 ,971852 ,88417 ,247067 ,148589 ,4637698 ,20888944 ,2540486 ,1292789 ,1717424 
2012,155397 ,75486 ,17229 ,205733 ,293124 ,968751 ,2223233 ,63354 ,39145 ,160116 ,943647 ,86148 ,250737 ,118039 ,5005651 ,16608238 ,2815715 ,1254279 ,1835837 
2013,129658 ,82754 ,16190 ,224116 ,31818 ,929606 ,2274766 ,57964 ,40928 ,163468 ,905308 ,74446 ,265348 ,136150 ,4933847 ,16356427 ,2808336 ,1372396 ,1826654 
2014,143873 ,94082 ,17906 ,231417 ,143774 ,1121797 ,2439664 ,58797 ,37138 ,165271 ,925965 ,87863 ,277978 ,151363 ,5717671 ,16860449 ,3038127 ,1516601 ,2003543 
2015,144962 ,93123 ,16014 ,227776 ,172621 ,993592 ,2542347 ,60705 ,41667 ,181747 ,876561 ,98824 ,290734 ,129043 ,5359959 ,16597061 ,3159447 ,1367300 ,2094996 
2016,149271 ,92377 ,15383 ,246459 ,56277 ,1021879 ,2451120 ,55029 ,41418 ,191603 ,766349 ,94150 ,270547 ,100746 ,5097069 ,16420638 ,2995887 ,1260480 ,2069629 
2017,174585 ,98548 ,15972 ,270227 ,116529 ,1247139 ,2704674 ,53406 ,43621 ,198528 ,727259 ,99432 ,283083 ,76021 ,5768530 ,18319318 ,3121564 ,1246793 ,2207364 
2018,134939 ,99621 ,18356 ,301113 ,214982 ,1300317 ,2783846 ,57808 ,37802 ,219289 ,719144 ,104243 ,317491 ,90512 ,6338190 ,19548403 ,3423864 ,1441274 ,2339186 
2019,146444 ,106651 ,18545 ,345926 ,143366 ,1149725 ,2912792 ,129674 ,39432 ,245484 ,700531 ,108105 ,367280 ,131879 ,6087714 ,25691168 ,3564127 ,1672383 ,2685882 
