year,China1.活動物；動物產品,China2.植物產品,China3.動植物油脂,China4.調製食品；飲料及菸酒,China5.礦產品,China6.化學品,China7.塑膠、橡膠及其製品,China8.毛皮及其製品,China9.木及木製品,China10.紙漿；紙及其製品；印刷品,China11.紡織品,China12.鞋、帽及其他飾品,China13.非金屬礦物製品,China14.珠寶及貴金屬製品,China15.基本金屬及其製品,China16.機械及電機設備,China17.運輸工具,China18.光學及精密儀器；鐘錶；樂器,China19.其他,Japan1.活動物；動物產品,Japan2.植物產品,Japan3.動植物油脂,Japan4.調製食品；飲料及菸酒,Japan5.礦產品,Japan6.化學品,Japan7.塑膠、橡膠及其製品,Japan8.毛皮及其製品,Japan9.木及木製品,Japan10.紙漿；紙及其製品；印刷品,Japan11.紡織品,Japan12.鞋、帽及其他飾品,Japan13.非金屬礦物製品,Japan14.珠寶及貴金屬製品,Japan15.基本金屬及其製品,Japan16.機械及電機設備,Japan17.運輸工具,Japan18.光學及精密儀器；鐘錶；樂器,Japan19.其他,Korea1.活動物；動物產品,Korea2.植物產品,Korea3.動植物油脂,Korea4.調製食品；飲料及菸酒,Korea5.礦產品,Korea6.化學品,Korea7.塑膠、橡膠及其製品,Korea8.毛皮及其製品,Korea9.木及木製品,Korea10.紙漿；紙及其製品；印刷品,Korea11.紡織品,Korea12.鞋、帽及其他飾品,Korea13.非金屬礦物製品,Korea14.珠寶及貴金屬製品,Korea15.基本金屬及其製品,Korea16.機械及電機設備,Korea17.運輸工具,Korea18.光學及精密儀器；鐘錶；樂器,Korea19.其他,USA1.活動物；動物產品,USA2.植物產品,USA3.動植物油脂,USA4.調製食品；飲料及菸酒,USA5.礦產品,USA6.化學品,USA7.塑膠、橡膠及其製品,USA8.毛皮及其製品,USA9.木及木製品,USA10.紙漿；紙及其製品；印刷品,USA11.紡織品,USA12.鞋、帽及其他飾品,USA13.非金屬礦物製品,USA14.珠寶及貴金屬製品,USA15.基本金屬及其製品,USA16.機械及電機設備,USA17.運輸工具,USA18.光學及精密儀器；鐘錶；樂器,USA19.其他
2001,27724,38517,12786,74788,387746,1999804,3601981,595314,60462,437016,4200876,258345,263876,82878,3605720,16423724,354684,973270,410605,655217,139537,3172,113295,95644,421154,622575,52027,88476,64964,363761,61572,129689,19340,836424,7723572,364174,574459,702392,37320,9732,2588,19596,103790,172476,74902,7083,2487,12121,197071,2660,53819,3068,165015,2272914,20049,159674,62698,199717,29192,4678,125710,95241,266266,1222438,84884,96120,64555,2182416,176137,131504,14581,2924903,16823401,1347010,791974,1547523
2002,26299,39213,15493,75938,367696,2504976,4215123,591242,59334,497357,4239675,226019,277541,72433,4613316,23287693,316013,1846102,467738,740234,132242,2169,106316,110115,404597,610004,31732,80833,75365,329237,53523,150704,23374,788238,7154891,328704,717544,553656,36736,11512,2486,11983,294435,174020,90294,5111,2322,16131,182306,2818,50066,1980,203810,2450663,19732,337090,84462,173365,31517,5091,112736,87688,255166,1322706,51535,89191,73661,2043272,154472,148560,18985,3011135,15848551,1479124,933493,1533706
2003,34053,47637,21516,79902,556790,3169363,4952999,548701,65317,529461,4395631,187339,278849,69810,5819354,27465555,584918,4808789,576217,882996,147641,3666,89065,191133,457904,684305,27658,87726,73326,292958,51806,193654,25796,876819,6897422,359630,620294,513324,20497,10012,2391,18850,507293,211867,98953,3407,2048,17776,153267,2990,45128,2535,299181,2994461,17786,262048,70424,160075,31294,4482,106961,73802,304977,1361035,41055,80148,85019,1894880,141074,140198,21634,2930214,15190985,1598773,897344,1507321
2004,39903,46728,24214,97450,1049765,4433948,6626747,550105,69509,590203,4710188,191365,347269,103360,6723745,34058606,685245,8787484,655456,1026300,152169,5564,133389,197713,544279,793771,24794,93170,78072,317743,47011,238382,27660,1133770,7531192,415520,690016,500387,34078,10917,2946,16468,210695,349015,120269,2016,2045,19409,190851,4010,68692,1716,379600,3969061,30558,221968,54731,181429,33481,5472,105090,370000,357699,1487530,46034,90364,86140,1819661,144725,175670,31182,4146488,15469764,1826009,892774,1539861
2005,78732,42673,19945,110136,937094,5568929,7756412,539437,73106,567338,4611534,196399,426805,149130,7947465,37376764,521488,10508968,844005,989447,138478,5301,90714,343231,751847,895300,26008,72872,77475,330136,43780,213253,37940,1485062,8159908,425421,620032,539978,24201,11925,2731,11320,306036,454131,146998,2521,3000,23472,172911,3168,49876,1765,506764,3801696,53448,302972,66149,162937,36333,6054,114344,532222,454283,1665490,42214,80361,80022,1553622,105986,173931,47642,4015131,15389866,2124787,995688,1581969
2006,113176,45006,18531,115072,1364058,6048187,8417913,556838,62643,552081,4564329,182813,451629,409099,8631389,43897662,533338,13245981,836243,636613,143888,5626,69214,432832,1005710,830723,21558,72657,68641,348452,31544,259119,89672,1392713,9366439,503620,727471,502168,48277,13522,1827,17554,98643,440852,164004,2771,3239,36018,177152,2550,114498,8415,769415,4804086,85158,399542,65345,178400,41188,6502,119084,586665,532577,1641114,44587,81915,95636,1418823,87819,198030,159487,5026278,17296157,2160564,1288073,1511739
2007,90980,44442,23165,137691,1622752,8427083,9644721,544391,57283,591478,4313253,167619,456592,517195,9472019,47558852,513879,16191181,828106,554393,134730,10726,81553,403513,1107431,886578,26646,63478,59210,376923,28285,251202,166274,1483937,8914557,521278,586682,486443,51087,24470,2239,17520,99695,658606,207375,3979,4347,38302,172678,1798,133946,7193,833060,5259598,100956,228915,67690,158227,46856,8151,126877,707645,537524,1676913,40325,67233,121330,1296682,75828,203482,285152,4705599,17209796,2263323,1089483,1509849
2008,101331,44094,27081,177955,3336661,9266874,9245432,506733,43555,548095,3856105,152354,412476,1203296,8269454,43653647,510135,18324696,823096,601004,147064,15903,84573,371212,1378816,1175159,32224,48531,60823,388847,31017,321010,306303,1739074,9257376,597898,772333,489452,52249,21479,3648,16932,169430,980300,225056,2508,3134,29171,121597,1841,116853,9293,959738,5646577,170639,193715,68477,165815,48921,8787,143985,408740,691919,1795795,43895,53493,117880,1144580,100892,189501,292184,4691818,16068467,2376090,997045,1543759
2009,101857,52574,25863,219131,1286169,7768826,8290604,357085,38050,474244,3329773,111743,402190,1862780,6046632,39329914,736134,13357167,684250,441807,138513,9399,62013,175156,903322,944154,31169,43878,87144,273825,32598,369150,216766,1164198,8172408,528435,573066,439567,58438,17340,2810,14413,199761,735027,178325,3519,1708,23212,107842,1927,88643,5220,927901,4682498,92877,155111,69853,142081,52878,11312,138461,514320,551625,1315685,38764,30889,102340,846756,78039,168987,102442,2734126,12739472,2003568,788662,1259477
2010,144576,72834,32584,303844,1911089,10869433,11291934,435292,35942,572636,4005858,135423,763780,2033756,7247395,54528726,1121698,19743513,870123,562559,164611,9744,96602,129242,1366570,1237723,33460,54441,84849,349147,34562,434569,259919,1713604,10056648,529763,827077,499970,61525,22340,1925,25426,255809,980266,308809,5316,1672,33881,133912,1982,92192,4764,962939,7424568,110716,260725,76519,146246,61208,13893,158633,493551,817980,1833331,44177,34526,121972,983377,81045,219106,125002,3951312,17525795,2262830,1058495,1633520
