time,中國大陸與香港,日本,韓國,美國
2001,33810115,13031446,3379063,28128251
2002,43739201,12393482,3977959,27373955
2003,54192203,12477122,4740914,26571270
2004,69791291,13950903,5689046,28809375
2005,78276361,15246183,5945086,29162882
2006,90045986,16508659,7252867,32474639
2007,101202681,16143838,7913452,32130276
2008,100503070,17818620,8792637,30883569
2009,84474989,14606566,7366426,23619884
2010,116120436,18445058,10765285,31566001
2011,125804537,19120126,12485955,36450635
2012,121083217,19517937,11984379,33119861
2013,125305489,19391110,12223186,32630181
2014,128481092,20129137,12857318,35033279
2015,112386426,19556522,12772060,34448479
2016,111986143,19470701,12531227,33396311
2017,129910593,20573772,14415736,36772593
2018,137898804,22800957,15738931,39490380
2019,132114565,23278741,16917052,46247108
