year,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
2001,655217 ,139537 ,3172 ,113295 ,95644 ,421154 ,622575 ,52027 ,88476 ,64964 ,363761 ,61572 ,129689 ,19340 ,836424 ,7723572 ,364174 ,574459 ,702392 
2002,740234 ,132242 ,2169 ,106316 ,110115 ,404597 ,610004 ,31732 ,80833 ,75365 ,329237 ,53523 ,150704 ,23374 ,788238 ,7154891 ,328704 ,717544 ,553656 
2003,882996 ,147641 ,3666 ,89065 ,191133 ,457904 ,684305 ,27658 ,87726 ,73326 ,292958 ,51806 ,193654 ,25796 ,876819 ,6897422 ,359630 ,620294 ,513324 
2004,1026300 ,152169 ,5564 ,133389 ,197713 ,544279 ,793771 ,24794 ,93170 ,78072 ,317743 ,47011 ,238382 ,27660 ,1133770 ,7531192 ,415520 ,690016 ,500387 
2005,989447 ,138478 ,5301 ,90714 ,343231 ,751847 ,895300 ,26008 ,72872 ,77475 ,330136 ,43780 ,213253 ,37940 ,1485062 ,8159908 ,425421 ,620032 ,539978 
2006,636613 ,143888 ,5626 ,69214 ,432832 ,1005710 ,830723 ,21558 ,72657 ,68641 ,348452 ,31544 ,259119 ,89672 ,1392713 ,9366439 ,503620 ,727471 ,502168 
2007,554393 ,134730 ,10726 ,81553 ,403513 ,1107431 ,886578 ,26646 ,63478 ,59210 ,376923 ,28285 ,251202 ,166274 ,1483937 ,8914557 ,521278 ,586682 ,486443 
2008,601004 ,147064 ,15903 ,84573 ,371212 ,1378816 ,1175159 ,32224 ,48531 ,60823 ,388847 ,31017 ,321010 ,306303 ,1739074 ,9257376 ,597898 ,772333 ,489452 
2009,441807 ,138513 ,9399 ,62013 ,175156 ,903322 ,944154 ,31169 ,43878 ,87144 ,273825 ,32598 ,369150 ,216766 ,1164198 ,8172408 ,528435 ,573066 ,439567 
2010,562559 ,164611 ,9744 ,96602 ,129242 ,1366570 ,1237723 ,33460 ,54441 ,84849 ,349147 ,34562 ,434569 ,259919 ,1713604 ,10056648 ,529763 ,827077 ,499970 
2011,632532 ,184890 ,16114 ,96183 ,182596 ,1569988 ,1699869 ,42196 ,62608 ,97438 ,476820 ,38439 ,467301 ,398833 ,2218545 ,8805948 ,654952 ,861392 ,613483 
2012,696916 ,199173 ,19402 ,83373 ,363357 ,1468951 ,1747604 ,49023 ,60413 ,129952 ,442624 ,41758 ,568172 ,289970 ,2076271 ,9113683 ,630457 ,876796 ,660041 
2013,492780 ,186015 ,17048 ,63950 ,267762 ,1442767 ,1623707 ,41210 ,66291 ,89433 ,393196 ,41701 ,472196 ,235804 ,1954438 ,9905248 ,621217 ,790472 ,685873 
2014,510037 ,178985 ,11879 ,66069 ,345787 ,1628172 ,1522346 ,38663 ,55980 ,72330 ,385515 ,44591 ,396473 ,239701 ,2086940 ,10397255 ,642928 ,817988 ,687498 
2015,474266 ,168595 ,9790 ,75703 ,129346 ,1398653 ,1304614 ,39038 ,39067 ,67251 ,357061 ,39950 ,273117 ,249400 ,1794554 ,11099827 ,588807 ,808169 ,639314 
2016,517922 ,163990 ,7978 ,67001 ,227354 ,1288738 ,1226530 ,29584 ,35553 ,87787 ,342759 ,38199 ,258011 ,266122 ,1762697 ,11148517 ,534586 ,836779 ,630594 
2017,593385 ,168636 ,7404 ,74713 ,124374 ,1396066 ,1462720 ,29346 ,26789 ,115190 ,359765 ,35826 ,268324 ,220540 ,2158784 ,11430319 ,557987 ,895770 ,647834 
2018,615071 ,187528 ,8556 ,88306 ,606843 ,1601339 ,1915623 ,29097 ,30617 ,113777 ,371254 ,38567 ,298662 ,264341 ,2296250 ,12168514 ,559635 ,953367 ,653610 
2019,525523 ,192632 ,8749 ,162620 ,521230 ,1382332 ,1803924 ,26242 ,29326 ,124190 ,338604 ,36927 ,257731 ,244772 ,2214049 ,13310784 ,535571 ,883979 ,679556 
