Country,Value2001,Value2002,Value2003,Value2004,Value2005,Value2006,Value2007,Value2008,Value2009,Value2010,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019
中國大陸與香港,33810115,43739201,54192203,69791291,78276361,90045986,101202681,100503070,84474989,116120436,125804537,121083217,125305489,128481092,112386426,111986143,129910593,137898804,132114565
日本,13031446,12393482,12477122,13950903,15246183,16508659,16143838,17818620,14606566,18445058,19120126,19517937,19391110,20129137,19556522,19470701,20573772,22800957,23278741
韓國,3379063,3977959,4740914,5689046,5945086,7252867,7913452,8792637,7366426,10765285,12485955,11984379,12223186,12857318,12772060,12531227,14415736,15738931,16917052
新加坡,4234012,4646355,5316367,6810815,8104189,9378650,10613104,11777382,8698501,12198128,16978012,20198583,19609087,20678284,17396074,16147227,17619613,17324072,18183980
馬來西亞,3141450,3223997,3187443,4244648,4309863,4979048,5421303,5541843,4082371,5974549,6923594,6587785,8243300,8670203,7196851,7814116,10368478,10601675,9399840
印尼,1486330,1480239,1536100,1914124,2377687,2525924,2944432,3595184,3242325,4536294,4875186,5244446,5203416,3877398,3105979,2746257,3193161,3329164,2921604
越南,1756335,2324333,2697520,3480959,4136208,4918488,6901329,7983915,6016430,7585609,9205773,8557048,9018544,10104121,9675233,9511294,10456687,10770602,10771752
泰國,2210056,2384470,2658684,3363915,3871961,4632717,5262071,4975330,3873357,5355081,6214005,6665294,6431935,6193998,5769926,5490290,6381470,6167705,5517710
菲律賓,2219050,2117889,2516509,4062757,4351158,4516470,4957745,4820816,4456782,6034825,7053466,8945191,9820662,9614527,7513737,8659120,9592794,8942334,6156565
印度,642185,668785,790886,1117495,1615188,1507554,2422212,3081939,2572290,3688249,4504681,3452187,3517186,3491071,3020959,2819155,3281316,3771080,3281844
孟加拉,400147,365164,399099,448820,447333,501248,477699,661202,618208,762949,1071730,1068968,1020905,1077335,905687,919869,995186,1140820,1167746
巴基斯坦,174957,186912,233023,307388,372864,383691,415263,405549,332854,391803,478795,430918,427433,460306,431363,452345,518095,729761,626354
澳門,294101,290047,304355,319094,325080,264075,380070,404522,303782,298738,212453,163860,135082,144166,143540,129458,111809,119772,98307
亞塞拜然,853,704,733,1211,2607,3666,3200,5117,4310,6477,8237,8796,8746,6279,5100,1978,1697,3647,3200
柬埔寨,182700,193765,208359,273135,332458,458061,428682,414000,323660,467949,633158,654069,672895,694659,682991,650298,649401,700265,719191
斯里蘭卡,297456,272590,262882,266060,255681,250406,223843,221660,179693,235077,306855,364595,432345,422806,415836,407207,407592,405213,373990
緬甸,170903,147089,113609,69341,80062,68655,72023,97545,83346,109285,137438,149874,185210,230087,222571,211908,238024,271166,242112
不丹,9,0,30,8,17,24,11,29,15,38,157,41,176,734,158,205,136,881,87
汶萊,11469,11788,12273,15193,18206,13713,16586,27611,30163,25595,37781,33596,30982,25529,23852,13652,11922,12816,11877
尼泊爾,4865,2760,2604,2937,2583,1725,5132,5607,6652,7935,8650,7540,8343,8856,6825,7440,9545,24900,10716
寮國,2389,1378,1495,2649,2131,2651,1832,2953,3230,3922,2235,3173,3821,3683,3290,3866,6740,5926,10112
北韓,16480,12938,14800,15602,20970,22404,21637,15719,13696,13395,14199,11126,3443,3804,98,559,46,0,0
哈薩克,4726,7119,7658,9595,13433,21159,37668,26678,26655,46732,61774,101913,148575,66054,53248,28281,34589,31283,36207
烏茲別克,2258,4679,6352,3919,4543,6998,6103,3662,2426,6027,5946,4501,8115,9192,6674,7856,10229,11305,11646
喬治亞,1063,1279,964,1807,2716,4587,6705,8247,7399,7447,22345,18557,18509,14021,10806,10220,11631,15396,19978
亞美尼亞,1796,865,1729,1923,1085,666,786,1902,1583,1256,1296,1127,4417,6051,3415,1654,1797,2259,5830
土庫曼,39,9,35,54,101,201,17,95,332,378,649,3658,2221,2177,1394,4955,1072,618,308
塔吉克,6,0,107,34,0,48,13,374,282,112,614,448,840,639,522,614,392,420,278
吉爾吉斯,56,45,55,254,325,560,1733,2662,862,809,1372,2253,3214,3013,1736,1986,1102,1072,1950
沙烏地阿拉伯,348009,338703,363637,433219,498550,532470,735408,992114,673888,1001145,1688366,1851007,1814284,2026812,1695512,1224893,1065910,781071,914744
科威特,62880,74847,81896,99644,115064,108549,129297,141815,146784,141938,170002,175551,230630,208493,208619,166033,138554,146264,156503
阿拉伯聯合大公國,774672,749653,792695,1135054,1091644,1158202,1522820,1588129,1044037,1510836,1613239,1660729,1746620,1677410,1486451,1265646,1335738,1249654,1508015
伊朗,164832,199156,256343,341091,357767,521616,589494,563234,571359,810485,908592,651775,652975,919924,578770,649620,652869,442411,107505
伊拉克,277,457,522,603,2474,5833,5272,8572,9557,14172,19864,23295,31935,53536,42386,37379,45212,50415,56506
土耳其,224310,410506,605999,963236,1295439,1257288,1538292,1280772,1101680,1451330,1632741,1605869,1608089,1709512,1519936,1210420,1550175,1330569,1021666
卡達,19997,16434,13363,16450,31928,35054,54657,79947,68873,58165,78473,77170,104678,121166,116453,73936,87409,119544,100320
阿曼,18523,11153,13857,12460,16053,23792,32999,52856,76521,95694,173581,150689,174892,155497,137284,142393,119268,480429,132501
以色列,307678,267877,304330,387080,416880,476630,548306,523014,397654,539009,622488,627483,594801,635561,610811,629277,710476,825768,782491
巴林,16568,15811,18745,17160,18885,22283,26195,42316,26067,34324,46690,67500,68159,70096,64539,58979,60254,47108,38377
阿富汗,26,58,62,341,454,318,438,401,627,1179,851,1015,622,745,1076,1008,1683,1749,1252
塞普勒斯,62245,60618,30300,31775,33220,35045,44435,49343,35575,46069,38903,37929,30502,21574,27636,22552,21151,25146,27152
約旦,72264,113319,125735,130427,168140,170116,185467,188487,182502,194186,258591,259171,316175,322164,346093,322043,369574,317988,302019
黎巴嫩,56234,44807,44143,55810,46996,53143,66848,85355,75988,86422,92581,86345,162166,95463,92008,82246,91361,82565,63239
敘利亞,106673,108640,98633,105291,117826,133665,165022,169090,177058,186617,207870,77230,36336,41643,29096,24895,32543,41659,43091
葉門,18381,13131,17081,21452,18388,19856,25747,31852,35872,95118,23681,42902,40822,89854,12651,13804,14466,12405,16757
德國,4531184,3884094,4284076,4611912,4470240,5021828,5194940,5758645,4721489,6548996,6935226,5684520,5670747,6207421,5981585,5896890,6428811,7058113,6522200
荷蘭,4255522,3836991,4221229,4809509,4399256,4419133,4425877,4588155,4245853,5296462,4608998,4437940,4497862,5082092,4180732,4468989,4971900,5855544,5863340
英國,3371698,2983025,2929826,3427017,3260253,3508525,3621967,3632683,2984792,3641361,4628186,5070797,4330238,4233725,3905034,3642856,3755981,3858019,3575952
義大利,1261751,1260974,1470212,1740679,1799461,2196916,2411908,2449871,1785441,2453576,2461519,1834155,1713801,1888442,1699096,1860459,2027029,2328023,1978696
法國,1183755,1141166,1272640,1593828,1456752,1571520,1712788,1738577,1377291,1706987,1753388,1573245,1501948,1551280,1387736,1542261,1707028,1666743,1521390
俄羅斯,268857,255217,305147,437620,517352,609065,833562,928788,581688,1083980,1523051,1542297,1497626,1315139,1030895,866734,1090056,1116331,1119494
西班牙,680100,684188,806391,976790,1079575,1129264,1546559,1860434,1137212,1375302,1271739,899307,872657,991530,880750,876299,1026242,1249222,1194339
瑞士,300486,274015,309151,341361,306176,337226,344752,390022,301199,395261,455509,435276,488485,456682,461740,455436,533299,595477,598778
比利時,678354,643317,748282,973904,935489,937170,1127369,1181477,758113,977992,1299589,1127702,1152662,1284655,1083173,1138007,1370442,1500413,1405388
芬蘭,294703,331684,485113,613948,670119,706298,878662,945754,476388,633921,795450,871431,797969,633294,375546,264491,257154,258391,261717
瑞典,380406,362158,372498,449557,484008,501259,584164,706244,480732,602231,682481,627571,601037,636046,580058,579276,613844,614916,634260
奧地利,361377,276433,335614,348604,371754,458577,494784,468187,375166,346885,300863,249565,307041,311687,322653,322221,416830,439722,404616
波蘭,162044,179535,218232,257129,452050,566339,770262,716989,625572,903544,759376,586567,759316,878126,739771,780408,889482,992712,899444
丹麥,317014,272388,375501,590260,577662,581008,598887,488471,303902,341413,389704,383212,370878,390141,323118,323520,353799,340351,347821
愛爾蘭,674754,592842,492690,556991,500013,457042,421938,309379,156290,145460,185859,214925,166716,224012,235268,254289,195340,238729,336208
匈牙利,191255,263888,246911,263451,395581,568628,806541,557144,354812,381579,414375,743939,633658,464495,451518,524001,532231,499004,579091
葡萄牙,119670,125331,121481,154878,262675,227907,417601,547405,185485,281527,204352,186269,190182,236777,206408,270029,442800,454722,487122
捷克,141998,225720,280255,194097,209168,389823,318185,481320,364049,594304,465951,502506,504003,421657,346642,404937,451840,462420,454368
挪威,115695,120554,137693,149537,162089,161921,211425,252073,191974,393317,420645,322481,259440,245709,211059,167525,172462,182708,187056
斯洛伐克,8546,14381,24730,78589,201774,412506,517432,436914,243612,258321,289932,277823,280295,323815,383491,362070,283583,236746,197318
烏克蘭,73457,69295,88814,95972,123114,153580,216879,254120,90629,141350,187991,192685,203424,130626,87864,108603,121937,131107,145186
希臘,140835,131919,156481,195940,189520,195755,256228,276979,181181,169897,178252,126944,140195,149441,131195,131296,153857,158051,124300
阿爾巴尼亞,295,118,441,825,574,603,2644,5073,4738,4865,10378,17664,12807,13738,12827,10371,9592,5917,5447
保加利亞,18944,36711,57749,52005,63503,71959,90292,144364,62696,106047,99910,91000,95782,130730,113834,115012,110180,121472,101461
教廷,81,128,23,39,5,31,222,1,3,30,0,3,0,0,0,2,0,3,0
冰島,5223,3976,3412,4536,6943,7840,8181,5746,19384,5794,7104,9951,6469,9231,6945,6045,6448,6565,6133
盧森堡,287636,639383,774574,488827,268867,273356,127596,105452,143751,44131,43869,45028,17554,18791,14530,17807,23136,15213,19573
馬爾他,20696,22066,23297,25834,39372,79265,108881,43082,38374,41648,46835,44108,35699,28900,31741,27085,31747,20358,25716
摩納哥,6645,615,518,171,89,517,152,106,105,393,141,138,140,83,107,277,160,327,209
羅馬尼亞,33881,51014,53596,82883,87271,122389,133521,146691,94983,102660,139706,133850,132073,132876,163040,156239,209803,201180,191060
塞爾維亞,0,0,0,0,0,0,2328,12520,8588,8282,9293,8230,10083,9537,8824,15256,28534,44065,33804
蒙特內哥羅,0,0,0,0,0,0,181,2087,1318,1304,1311,2673,3362,3253,4280,5306,3404,6951,8546
馬其頓,2767,2165,2772,2293,1784,2152,2527,3072,2076,3855,2796,1795,7450,8565,5986,4381,2929,3864,3771
波士尼亞與赫塞哥維納,821,918,1086,1333,1658,1516,2561,1536,1034,1055,1808,857,980,1964,1354,2001,2684,3979,5152
克羅埃西亞,13507,20845,28164,32613,33824,46710,48784,59887,72814,61362,44022,36352,36680,45997,37213,37373,43786,61779,51368
斯洛維尼亞,19788,27200,36645,47320,49852,55039,71878,90150,59251,101479,289706,120382,124450,152959,144170,154844,156148,169586,137728
白俄羅斯,4816,4921,4611,6777,8001,11744,15009,20210,16591,17825,19835,24186,21808,23991,16849,14430,17708,20752,21389
摩爾多瓦,597,1263,1180,1565,1908,2080,4300,5037,2232,3802,5284,6501,6241,6306,4557,3701,3851,8267,12291
立陶宛,18049,22368,31991,67664,101789,107662,131157,137101,62619,113963,154406,142898,137815,136211,100138,113520,119790,127398,120587
愛沙尼亞,11330,13564,19353,80592,85417,162629,134947,133569,74022,115590,137996,150103,170834,130870,83698,90509,96353,101589,82478
拉脫維亞,11441,15283,27249,34543,48133,80702,100379,126412,53084,90415,129782,134217,137989,148162,105986,107412,111982,113563,99740
美國,28128251,27373955,26571270,28809375,29162882,32474639,32130276,30883569,23619884,31566001,36450635,33119861,32630181,35033279,34448479,33396311,36772593,39490380,46247108
加拿大,1576776,1541207,1481746,1650396,1688849,1769301,1849831,1850755,1457916,1940962,2571128,2505693,2410592,2448174,2360883,2040905,2203995,2538321,2380870
墨西哥,1030132,945469,892417,987078,884198,1075160,1502367,1858899,1096963,1505872,1541391,1810874,1787161,1990467,2218158,2038002,2284248,2483005,2845884
巴拿馬,123842,129138,121069,246667,225195,181216,205102,233987,153449,290237,196396,223023,179276,228833,144405,132977,127205,111668,106287
哥斯大黎加,75756,59338,47108,51437,80292,153074,134952,122681,68849,102618,156396,81942,125559,141702,90421,84186,80252,87640,82216
巴貝多,2219,2555,3110,4474,3673,4118,4054,3405,3609,3387,4027,3722,3879,3489,3898,4037,3581,3275,3649
巴哈馬,61007,49397,52504,2300,97343,187798,747,453,405,255,316,185,863,651,634,613,939,546,692
安圭拉,3,0,0,1,16,7,143,38,81,166,117,196,120,89,171,64,145,81,68
安地卡及巴布達,160,138,49,1097,718,1334,724,797,484,264,276,484,493,276,431,206,102,378,326
貝里斯,5228,10251,6042,6251,8113,4123,6072,7584,5377,5670,5108,5879,4178,4441,12476,5916,6169,6966,6124
多明尼克,2069,1173,1224,1509,2390,2786,1912,8311,2106,1530,766,865,1046,428,206,231,190,400,111
多明尼加,77939,83615,56802,67195,77449,85062,84842,105146,81213,98270,103315,107744,115224,116787,106478,106583,124084,147297,100899
薩爾瓦多,65915,60525,74527,58719,56094,71599,71006,89664,71542,78180,129998,140683,131629,105659,100572,108184,101794,106879,81148
瓜地馬拉,78977,81216,92105,111284,111641,123337,94620,74535,65878,81941,104929,118623,122891,109483,179919,111270,118419,129240,139960
格瑞那達,409,171,352,321,1824,690,1274,1145,424,610,153,281,427,354,100,260,164,271,151
海地,11167,9475,6711,5216,6479,4450,6453,9718,7789,9876,11295,18179,23784,28798,29694,23652,34438,29467,26438
宏都拉斯,50903,51873,37119,33211,33149,35993,43186,59466,41662,53507,46558,45001,69065,74546,92511,78669,71919,86028,74239
牙買加,15963,16122,14104,16356,18898,19847,21266,21130,15909,15695,15104,15217,12722,11354,12749,12392,11674,12786,10497
蒙瑟拉特,13,20,0,41,0,104,12,427,50,24,34,0,44,77,34,24,0,3,19
尼加拉瓜,48607,43148,39267,41240,39648,38800,37166,24030,18358,33741,34567,46122,52975,49929,34839,22946,22220,26239,20225
玻多黎各,52330,53464,53272,50379,56595,75578,66179,63859,59340,69200,62492,60977,56406,48535,53368,48784,56322,62185,66034
