Exports to Country (Unit: US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2001年,126608592,67480658,5020729,28789386,13031446,3379063,4234012,3141450,1486330,1756335,2210056,2219050,642185,400147,174957,294101,853,182700,297456,170903,9,11469,4865,2389,16480,4726,2258,1063,1796,39,6,56,2253567,348009,62880,774672,164832,277,224310,19997,18523,307678,16568,26,62245,72264,56234,106673,18381,19989079,4531184,4255522,3371698,1261751,1183755,268857,680100,300486,678354,294703,380406,361377,162044,317014,674754,191255,119670,141998,115695,8546,73457,140835,295,18944,81,5223,287636,20696,6645,33881,0,0,2767,821,13507,19788,4816,597,18049,11330,11441,29705762,28128251,1576776,1793185,1030132,123842,75756,2219,61007,3,160,5228,2069,77939,65915,78977,409,11167,50903,15963,13,48607,52330,463,4879,24762,42,18925,1445591,573664,177039,87988,161030,120810,3553,71099,194,1530,24102,2917,66055,155430,1746212,1377541,200471,4760,12779,812,1411,73,7523,2079,5573,335,874,574,31,5058,1191056,501761,1334,14,861,139972,178806,8515,21874,332,22,1,7107,30,41,421,0,7956,2120,77,9569,1136,960,11759,4948,2,20644,22160,52309,7526,16067,7249,282,307,36628,31333,3463,604,345,163,8121,26,2754,1709,2,9330,1929,4149,3661,39428,1150,737,2352
2001年1月,10064663,5057970,300812,1799278,1213087,279758,417921,253989,120076,96302,188354,221834,48407,35498,13324,15406,74,13009,22453,15122,8,494,596,152,561,603,56,18,357,0,0,0,189496,26780,5846,59908,12463,0,26757,1077,688,31853,1073,5,2068,3692,4378,11555,1354,1720539,390006,355584,288573,107998,112300,19759,66844,43259,72476,26876,46712,28289,11576,22347,37726,11482,11165,5398,13176,829,5266,10756,1,1262,0,753,15941,2900,69,3091,0,0,168,5,1396,1842,348,41,1299,1417,715,2502547,2363807,138654,132314,80274,8989,7565,167,195,0,0,63,95,6432,4258,5158,53,364,3594,890,0,4615,3818,58,0,2241,0,1336,127241,56806,13833,7198,14669,10112,80,6407,36,62,1589,264,4327,11851,134193,108960,17208,16,1272,18,64,0,516,71,1,2,89,22,0,308,93834,39467,56,0,81,9212,15185,89,2510,29,0,0,155,0,0,0,0,816,78,0,841,207,1,982,294,2,1189,2761,2210,601,987,496,19,0,3624,2564,345,13,0,1,479,0,145,238,0,1090,15,376,562,3954,115,42,193
2001年2月,10389157,5599475,378680,2278661,1264032,284765,404266,225448,110453,118338,185757,187097,44070,33061,16334,21727,30,10820,19486,12579,0,958,214,97,1933,273,177,47,62,4,0,1,181231,26642,4558,59448,11012,0,24036,2186,795,31285,1916,0,2341,3971,5174,6795,1073,1746371,411079,364073,311284,115925,100309,20620,58817,33832,63327,24207,39431,39806,11411,22377,43801,12839,7154,9526,13513,846,5355,11404,5,1196,0,1341,10799,1394,111,3334,0,0,275,226,807,1518,328,2,1028,1061,1275,2323411,2202521,120836,125504,81030,8114,3132,58,169,2,0,933,390,3831,4529,4658,3,549,2468,841,0,5240,4527,9,476,973,0,1902,119072,55796,13623,8501,13147,7662,74,4355,0,20,1115,46,4558,10168,121640,100714,13545,900,1051,73,84,0,414,139,0,29,11,8,0,240,83804,37261,98,0,58,8450,14830,0,1574,0,21,0,375,0,0,86,0,779,98,0,1143,241,0,517,21,0,1099,709,2682,358,1688,380,1,89,1808,2262,447,42,22,22,1041,0,83,254,0,712,7,218,368,3761,26,42,8
2001年3月,12003917,6381736,438467,2667321,1373729,292584,405009,263734,136181,148357,202985,228288,56472,47291,16779,33387,20,16872,29652,19106,0,1042,960,341,1641,270,186,34,432,0,0,40,197493,26621,4573,73142,10091,0,18332,2685,4736,30764,1083,0,2659,8173,5276,8250,1109,1992000,456797,414094,359721,138025,115289,21297,66818,30971,68841,31157,37038,44326,16562,26370,56606,11049,12038,11357,13672,1052,7690,15178,48,1689,20,856,19543,1815,230,3321,0,0,440,56,885,1617,490,15,1272,1444,1211,2801942,2650755,151176,160397,95855,11496,5592,220,122,1,0,460,133,8131,5612,9359,90,1027,4788,1270,0,5335,4240,132,965,2088,38,1327,128743,54752,14284,8193,14875,10474,223,5526,5,213,3733,174,6185,10091,147656,121441,15282,90,963,6,135,0,553,238,0,67,32,41,0,96,106724,44742,114,0,284,11575,17878,3,1325,21,0,0,771,3,0,44,0,548,114,0,850,151,85,902,236,1,1796,1415,4014,429,1073,545,0,0,3213,3666,415,5,0,0,509,0,265,122,0,884,82,233,278,3938,53,1,93
2001年4月,11152057,6007373,425764,2574454,1157416,285644,354986,262583,138004,176665,193762,203465,57845,50114,15452,29487,31,19385,35895,20630,1,1395,412,352,2430,353,108,101,217,0,0,1,195404,29037,4770,73788,12456,0,10549,994,2318,32122,1616,0,3916,7954,5719,6105,4061,1752284,398327,351633,305440,123656,118207,16638,70688,24291,60561,21662,32914,32071,13131,22484,64115,11558,13333,8360,11112,595,7122,14641,7,1187,0,373,15338,1038,207,3317,0,0,318,15,1339,1633,363,16,1904,993,735,2559872,2419329,140489,165125,89832,11417,10188,151,53,0,0,480,197,8505,8034,9830,48,1340,6462,1956,0,4565,5110,25,472,2904,0,1663,135239,55232,15708,6623,16038,10410,879,6063,36,169,1533,269,6910,15361,133987,110225,14364,23,1060,97,243,0,753,138,0,0,52,42,0,267,105054,43438,163,0,111,13279,16278,951,2313,11,0,0,1606,2,0,55,0,327,102,14,370,113,15,2890,22,0,1783,1819,3284,1022,1269,753,0,0,2786,3129,315,26,0,71,811,0,264,2,0,810,160,165,110,3594,227,93,81
2001年5月,10406649,5642157,401687,2398196,1093657,263390,341605,258915,130181,168181,183235,184018,57849,45062,13335,29113,73,19058,32922,18345,0,786,967,295,345,324,74,59,66,36,0,0,175852,29110,4857,61722,16272,0,12345,1647,808,24776,1523,0,3277,6733,5197,6060,1525,1537043,318890,325692,249923,106039,92192,17591,66481,25345,49632,18650,30306,24543,11584,49005,61231,12450,8729,9155,8807,713,7676,12478,11,1344,0,222,17304,1688,157,2840,0,0,289,44,972,1177,480,43,1181,789,670,2461608,2334234,127306,144864,77680,10787,6828,275,82,0,0,327,214,8291,6862,8687,51,2183,6535,1419,0,4414,4053,65,430,2195,0,2082,124061,48096,15274,5836,15223,11432,224,6151,10,98,2291,471,6500,12414,136096,104325,13824,388,791,58,97,22,494,134,8,23,2,94,0,228,93882,39917,119,0,60,10631,13959,1616,1698,67,0,0,84,0,20,125,0,411,62,9,49,33,120,552,309,0,1734,1403,4269,626,1661,952,20,27,2985,2779,104,41,4,0,560,0,426,27,0,956,304,268,265,2887,83,74,381
2001年6月,10609009,5755974,416050,2406022,1165897,274475,324044,283152,132519,152126,201205,197257,58309,36583,14682,24236,35,21090,28384,15383,0,1597,305,208,1705,324,116,39,63,0,0,0,189947,31962,4883,68360,13184,0,16699,3479,2077,22146,2281,0,2394,6624,5234,8798,1826,1494479,306393,322843,265474,106487,93392,20292,59551,21956,51443,20946,25899,21146,12434,20461,53605,11586,9976,10433,7914,457,5851,14154,21,1637,0,235,17113,4300,133,2417,0,0,297,26,768,1044,661,40,1181,427,880,2543874,2416978,126885,166952,98705,12523,10891,207,73,0,25,159,173,8304,6419,7818,25,1989,4183,1213,0,3160,4731,32,12,2278,0,1114,135170,52503,19163,8096,13355,11297,650,7905,24,215,2475,136,4506,14808,156916,113549,18060,56,972,68,209,0,504,246,1001,17,111,94,0,405,98197,44961,130,0,37,9861,13001,76,1802,36,0,0,266,0,0,12,0,290,172,0,936,116,180,1415,90,0,2120,1244,3733,520,1326,989,0,46,3556,2968,178,77,199,0,632,0,140,198,0,1134,28,425,178,3480,186,28,194
2001年7月,10023783,5332662,422575,2260117,1010515,257154,312937,273900,121023,145556,181240,177413,58466,24735,13862,22928,65,14553,22035,9414,0,1384,440,293,694,312,227,71,152,0,0,0,184135,28526,5155,68112,13095,0,16689,1768,1327,22494,1566,9,2654,5982,4659,10577,1520,1368989,292372,302705,250934,65496,87892,23241,41581,19497,51409,20877,25312,19385,12906,18330,58144,11145,7971,10159,6370,843,8010,8647,16,1364,0,353,13717,784,106,2449,0,0,120,247,1038,1888,80,32,1212,617,898,2471003,2334338,136572,183260,92559,11264,10935,272,29659,0,82,848,185,4818,4273,5688,0,651,3996,1810,0,3255,4422,24,377,2781,0,2449,127673,46479,15567,6771,14598,12186,133,6938,35,177,2343,327,5440,16677,155616,118964,17064,2123,867,132,104,0,1171,127,21,33,118,30,7,289,100144,44496,5,0,30,11382,13458,1690,1544,5,0,0,528,0,0,25,0,683,224,0,752,23,159,959,250,0,4088,3161,1513,366,816,456,45,4,2481,2869,139,107,107,32,963,0,310,188,0,661,33,268,194,4756,14,14,193
2001年8月,9773224,5200783,431893,2354321,881252,262682,296233,242497,118916,121290,167104,161809,59028,24823,15526,19137,178,12559,19087,9875,0,576,256,115,594,311,15,119,111,0,0,0,189974,31013,5069,73147,12468,0,16870,1279,1725,22966,941,6,1951,4806,4294,11957,1480,1383522,290683,285280,238784,90199,77633,22799,42097,18599,53634,23021,23551,20398,10878,47347,35880,15860,9393,9751,7338,434,6132,9897,3,1358,0,118,30414,957,306,2501,0,0,67,25,926,2412,603,77,1884,758,896,2435253,2312608,122554,145638,90475,12111,4985,149,115,0,38,137,115,6822,5256,4865,15,862,3269,1300,0,3751,4276,51,8,2543,0,1141,105010,37240,14210,7344,11644,10034,171,4994,47,77,1709,146,4818,12575,143185,116090,19127,167,1080,32,48,0,324,244,652,14,58,37,8,663,93149,40056,22,0,58,12338,13237,66,2183,0,1,0,251,0,0,0,0,1005,87,2,440,65,154,440,191,0,1669,1728,4564,460,1378,123,0,64,3266,1555,76,21,9,1,659,25,166,1,2,535,318,443,463,2815,90,79,158
2001年9月,9138493,4934538,404158,2219402,805347,264395,293560,248181,128802,126711,143361,153322,49266,24854,12267,16412,52,11863,18523,9842,0,931,109,195,1599,379,732,56,61,0,0,0,187167,27683,3386,54356,18547,277,12222,951,480,17705,1026,6,34950,4442,2808,7552,776,1330293,305349,299425,217718,70497,78347,19492,35617,16207,42640,21715,20860,26966,13007,17167,53983,14486,6603,14848,7101,405,4567,7087,56,1226,0,224,24637,1095,369,1779,0,0,150,73,965,2237,298,41,1195,604,731,2141958,2017553,124350,128067,75545,8965,5162,245,189,0,4,252,120,4848,4582,6296,44,650,2630,878,13,3036,3073,38,6,1611,4,1431,109808,36655,13647,7267,13125,8363,194,4574,0,120,1297,191,6288,18087,135764,110192,17511,31,1052,123,100,47,404,245,1886,0,98,68,0,654,88946,40781,15,0,37,8636,12897,2261,1761,21,0,0,97,0,0,0,0,619,95,51,481,71,32,865,275,0,855,1164,4222,798,799,566,132,0,2380,2007,528,45,0,0,481,0,401,1,0,395,322,266,234,1795,75,0,210
